05/30/2019 23:00:06 PM - INFO - 持仓,操作日期,2011-04-26,股票名称,股票具体名称,当前价格,价格,今日指标,指标,ROE,roe,PE,pe,所属板块,板块
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-05-12,股票名称,四川双马,当前价格,12.190962665,今日指标,-1002,ROE,0,PE,0,所属板块,建筑材料
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-06-01,股票名称,闻泰科技,当前价格,9.17897464,今日指标,-175.70573676666663,ROE,10.787153333333336,PE,56.512997,所属板块,电子
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-06-01,股票名称,浙江医药,当前价格,17.07413654,今日指标,-13.627272166666664,ROE,28.122793333333334,PE,12.651535,所属板块,医药生物
05/30/2019 23:11:56 PM - INFO - 明日操作,持仓,操作日期,2011-06-01,股票名称,新和成,当前价格,10.06708432,今日指标,-34.133459599999995,ROE,24.3241,PE,17.714412,所属板块,医药生物
05/30/2019 23:11:56 PM - INFO - 明日操作,持仓,操作日期,2011-06-01,股票名称,四川双马,当前价格,12.013352525,今日指标,-1002,ROE,0,PE,0,所属板块,建筑材料
05/30/2019 23:11:56 PM - INFO - 明日操作,持仓,操作日期,2011-06-11,股票名称,闻泰科技,当前价格,9.778581039999999,今日指标,-154.89867906666666,ROE,10.787153333333336,PE,50.207828,所属板块,电子
05/30/2019 23:11:56 PM - INFO - 明日操作,持仓,操作日期,2011-06-11,股票名称,浙江医药,当前价格,15.269693870000001,今日指标,-15.543403966666666,ROE,28.122793333333334,PE,13.232181,所属板块,医药生物
05/30/2019 23:11:56 PM - INFO - 明日操作,持仓,操作日期,2011-06-11,股票名称,新和成,当前价格,9.21275215,今日指标,-36.2249996,ROE,24.3241,PE,18.348212,所属板块,医药生物
05/30/2019 23:11:56 PM - INFO - 明日操作,持仓,操作日期,2011-06-11,股票名称,四川双马,当前价格,11.4459868,今日指标,-1002,ROE,0,PE,0,所属板块,建筑材料
05/30/2019 23:11:56 PM - INFO - 明日操作,持仓,操作日期,2011-06-21,股票名称,闻泰科技,当前价格,8.644325599999998,今日指标,-137.17414806666665,ROE,10.787153333333336,PE,44.836758,所属板块,电子
