date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2019-04-02,sh.600315,141.3330166200,39.526123,3.674334,2.992334,-125.724904
2019-04-02,sh.600316,77.1817173000,85.549912,2.605809,5.249784,32.053519
2019-04-02,sh.600317,25.5279778300,20.112765,1.729561,4.182158,62.143218
2019-04-02,sh.600319,6.8258154700,66.645196,46.046687,0.934578,-22.904938
2019-04-02,sh.600320,45.6072516900,51.018006,1.488308,1.036165,-8.951482
2019-04-02,sh.600321,16.8975163100,111.117730,1.576449,2.110194,-80.694635
2019-04-02,sh.600322,8.7382292000,22.673332,0.927654,0.729172,-1.623424
2019-04-02,sh.600323,54.5672054200,15.132500,2.270754,2.732540,-182.154533
2019-04-02,sh.600325,63.4051214100,9.338243,1.704366,0.892798,-5.268923
2019-04-02,sh.600326,57.4912640700,17.959705,2.651916,1.607928,-12.668255
2019-04-02,sh.600327,42.9895559700,13.315665,1.383725,0.410087,-48.069600
2019-04-02,sh.600328,20.8635280000,15.192465,1.688009,1.075143,642.404089
2019-04-02,sh.600329,39.5924774000,22.723436,2.590485,2.007242,26.592840
2019-04-02,sh.600330,33.9253071300,37.780408,2.342330,3.593894,53.837205
2019-04-02,sh.600331,28.9093611700,1162.232255,1.642723,1.713739,-42.182276
2019-04-02,sh.600332,44.3022137400,18.492829,2.934458,1.506694,17.794208
2019-04-02,sh.600335,30.8228960000,16.398599,1.048957,0.181345,-4.169645
2019-04-02,sh.600336,10.1774628000,84.160020,2.093473,0.699156,-16.712987
2019-04-02,sh.600337,61.6256640000,22.659830,2.129313,1.943406,37.144913
2019-04-02,sh.600338,27.2637112000,16.024533,6.952074,7.487236,-5146.891529
2019-04-02,sh.600339,19.2551741500,40.564239,1.175128,0.463487,2.435826
2019-04-02,sh.600340,418.9527259200,9.165572,3.029886,1.293903,-12.333811
2019-04-02,sh.600343,29.6984591200,348.076658,3.632613,4.246204,858.399776
2019-04-02,sh.600345,53.8615004000,27.509382,4.091865,42.861194,104.974912
2019-04-02,sh.600346,94.2348995700,26.993870,3.348062,2.848042,8.117234
2019-04-02,sh.600348,39.2536054400,7.997430,0.920541,0.485397,79.248148
2019-04-02,sh.600350,8.2594007100,8.449270,0.912425,3.642475,-16.781767
2019-04-02,sh.600351,57.3320272800,23.701484,2.166731,2.129113,56.464262
2019-04-02,sh.600352,267.8402658800,16.466999,3.390191,3.549099,-156.768415
2019-04-02,sh.600353,36.4587074000,57.179580,3.139339,3.045046,-31.070292
2019-04-02,sh.600356,14.6545189500,37.217494,1.373858,1.876120,-9.869435
2019-04-02,sh.600360,42.9217840700,56.516441,2.672033,3.432967,37.397811
2019-04-02,sh.600361,20.6885631000,43.348260,1.192507,0.275453,-38.180659
2019-04-02,sh.600362,21.4017649000,23.415215,1.151545,0.266191,201.619487
2019-04-02,sh.600363,26.5140704000,23.917209,2.013538,1.445495,-43.338935
2019-04-02,sh.600365,9.9327361000,362.387072,2.835522,1.938871,158.706389
2019-04-02,sh.600366,61.2489942600,38.695626,1.564830,3.354142,-56.869620
2019-04-02,sh.600367,28.7460402400,23.805557,2.165226,1.732472,46.565823
2019-04-02,sh.600368,9.5455755900,10.270867,1.219613,2.394365,15.140368
2019-04-02,sh.600369,18.4005243000,138.861528,1.693951,11.478840,-14.600577
